Well.Location,Sample.Name,Dilution.Factor,OD,Predict_Conc,Final_Conc_ng.ml,Conc_ug.ml,Conc_mg.ml
A01,STD1,2,1.882,100,100,0.1,0.0001
A02,STD1,2,1.921,100,100,0.1,0.0001
A03,STD2,4,1.461,50,50,0.05,0.00005
A04,STD2,4,1.49,50,50,0.05,0.00005
A05,STD3,8,0.989,25,25,0.025,0.000025
A06,STD3,8,0.923,25,25,0.025,0.000025
A07,STD4,16,0.554,12.5,12.5,0.0125,0.0000125
A08,STD4,16,0.563,12.5,12.5,0.0125,0.0000125
A09,STD5,32,0.304,6.25,6.25,0.00625,0.00000625
A10,STD5,32,0.309,6.25,6.25,0.00625,0.00000625
A11,STD6,64,0.16,3.125,3.125,0.003125,0.000003125
A12,STD6,64,0.172,3.125,3.125,0.003125,0.000003125
B01,STD7,128,0.082,1.56,1.56,0.00156,0.00000156
B02,STD7,128,0.085,1.56,1.56,0.00156,0.00000156
B03,Blank,,0,,,,
B04,Blank,,0,,,,
B05,D0_C2M4_WT,100,1.681,68.71,68710,68.71,0.06871
B06,D0_C2M4_WT,100,1.554,56.873,56873,56.873,0.056873
B07,D0_C2M4_WT,1000,0.486,10.652,106520,106.52,0.10652
B08,D0_C2M4_WT,1000,0.483,10.578,105780,105.78,0.10578
B09,D0_C2M4_WT,10000,0.09,1.51,151000,151,0.151
B10,D0_C2M4_WT,10000,0.092,1.558,155800,155.8,0.1558
B11,D6_C2M4_WT,100,1.446,48.774,48774,48.774,0.048774
B12,D6_C2M4_WT,100,1.493,52.115,52115,52.115,0.052115
C01,D6_C2M4_WT,1000,0.44,9.531,95310,95.31,0.09531
C02,D6_C2M4_WT,1000,0.438,9.483,94830,94.83,0.09483
C03,D6_C2M4_WT,10000,0.07,1.017,101700,101.7,0.1017
C04,D6_C2M4_WT,10000,0.073,1.093,109300,109.3,0.1093
C05,D10_C2M4_WT,100,2.599,0,0,0,0
C06,D10_C2M4_WT,100,2.552,0,0,0,0
C07,D10_C2M4_WT,1000,1.641,64.656,646560,646.56,0.64656
C08,D10_C2M4_WT,1000,1.546,56.219,562190,562.19,0.56219
C09,D10_C2M4_WT,10000,0.535,11.879,1187900,1187.9,1.1879
C10,D10_C2M4_WT,10000,0.554,12.366,1236600,1236.6,1.2366
C11,D14_C2M4_WT,100,2.396,476.684,476684,476.684,0.476684
C12,D14_C2M4_WT,100,2.526,0,0,0,0
D01,D14_C2M4_WT,1000,1.409,46.318,463180,463.18,0.46318
D02,D14_C2M4_WT,1000,1.329,41.463,414630,414.63,0.41463
D03,D14_C2M4_WT,10000,0.359,7.621,762100,762.1,0.7621
D04,D14_C2M4_WT,10000,0.387,8.273,827300,827.3,0.8273
D05,D0_C3M2_WT,100,1.813,84.95,84950,84.95,0.08495
D06,D0_C3M2_WT,100,1.878,95.118,95118,95.118,0.095118
D07,D0_C3M2_WT,1000,0.707,16.53,165300,165.3,0.1653
D08,D0_C3M2_WT,1000,0.645,14.786,147860,147.86,0.14786
D09,D0_C3M2_WT,10000,0.136,2.584,258400,258.4,0.2584
D10,D0_C3M2_WT,10000,0.134,2.538,253800,253.8,0.2538
D11,D6_C3M2_WT,100,1.636,64.172,64172,64.172,0.064172
D12,D6_C3M2_WT,100,1.656,66.137,66137,66.137,0.066137
E01,D6_C3M2_WT,1000,0.474,10.356,103560,103.56,0.10356
E02,D6_C3M2_WT,1000,0.466,10.161,101610,101.61,0.10161
E03,D6_C3M2_WT,10000,0.073,1.093,109300,109.3,0.1093
E04,D6_C3M2_WT,10000,0.076,1.168,116800,116.8,0.1168
E05,D10_C3M2_WT,100,2.583,0,0,0,0
E06,D10_C3M2_WT,100,2.548,0,0,0,0
E07,D10_C3M2_WT,1000,1.827,86.995,869950,869.95,0.86995
E08,D10_C3M2_WT,1000,1.858,91.799,917990,917.99,0.91799
E09,D10_C3M2_WT,10000,0.602,13.623,1362300,1362.3,1.3623
E10,D10_C3M2_WT,10000,0.626,14.267,1426700,1426.7,1.4267
E11,D14_C3M2_WT,100,2.497,2016.692,2016692,2016.692,2.016692
E12,D14_C3M2_WT,100,2.592,0,0,0,0
F01,D14_C3M2_WT,1000,1.432,47.827,478270,478.27,0.47827
F02,D14_C3M2_WT,1000,1.465,50.093,500930,500.93,0.50093
F03,D14_C3M2_WT,10000,0.421,9.076,907600,907.6,0.9076
F04,D14_C3M2_WT,10000,0.415,8.934,893400,893.4,0.8934
F05,D0_C2M2_AID,100,-0.005,0,0,0,0
F06,D0_C2M2_AID,100,-0.007,0,0,0,0
F07,D0_C2M2_AID,1000,-0.009,0,0,0,0
F08,D0_C2M2_AID,1000,-0.009,0,0,0,0
F09,D0_C2M2_AID,10000,-0.008,0,0,0,0
F10,D0_C2M2_AID,10000,-0.009,0,0,0,0
F11,D6_C2M2_AID,100,0.001,0,0,0,0
F12,D6_C2M2_AID,100,-0.002,0,0,0,0
G01,D6_C2M2_AID,1000,-0.004,0,0,0,0
G02,D6_C2M2_AID,1000,-0.01,0,0,0,0
G03,D6_C2M2_AID,10000,-0.009,0,0,0,0
G04,D6_C2M2_AID,10000,-0.01,0,0,0,0
G05,D10_C2M2_AID,100,0.064,0.864,864,0.864,0.000864
G06,D10_C2M2_AID,100,0.058,0.706,706,0.706,0.000706
G07,D10_C2M2_AID,1000,-0.001,0,0,0,0
G08,D10_C2M2_AID,1000,0,0,0,0,0
G09,D10_C2M2_AID,10000,-0.005,0,0,0,0
G10,D10_C2M2_AID,10000,-0.01,0,0,0,0
G11,D14_C2M2_AID,100,0.045,0.342,342,0.342,0.000342
G12,D14_C2M2_AID,100,0.043,0.282,282,0.282,0.000282
H01,D14_C2M2_AID,1000,0.001,0,0,0,0
H02,D14_C2M2_AID,1000,0.004,0,0,0,0
H03,D14_C2M2_AID,10000,-0.002,0,0,0,0
H04,D14_C2M2_AID,10000,-0.01,0,0,0,0